model,horizon,n,mae,rmse,bias,inside_80,inside_95
ets,1,44,3.1693,3.7916,0.2843,,
ets,3,44,4.4147,5.5134,0.2963,,
ets,6,44,5.2274,6.3068,0.0969,,
naive,1,44,3.2505,3.775,0.2973,,
naive,3,44,4.2268,5.373,0.8436,,
naive,6,44,5.0373,6.3057,1.3105,,
sarima,1,11,2.889,3.4476,-0.6892,1.0,1.0
sarima,3,11,5.7445,7.0371,-0.505,0.6364,0.7273
sarima,6,11,4.6014,5.6964,-0.9036,0.9091,0.9091
seasonal_naive,1,44,6.6245,7.7817,3.4309,,
seasonal_naive,3,44,7.3486,8.8384,3.5277,,
seasonal_naive,6,44,7.1511,8.626,3.1007,,
